site_id,start_url,verdict,category
opendatacommunities-org-data,https://opendatacommunities.org,WAF차단(헤더/스텔스 우회검증필요),fixable?
pbocri-org-cn-lnzy3html,https://www.pbocri.org.cn,"불명(HTTP200, 12177B, 91링크)",review
phfscience-nz-digital-library,https://www.phfscience.nz,WAF차단(헤더/스텔스 우회검증필요),fixable?
phfscience-nz-news-publications,https://www.phfscience.nz,WAF차단(헤더/스텔스 우회검증필요),fixable?
pmc-gov-au-resources,https://www.pmc.gov.au,SPA/JS쉘(정적크롤 불가),structural
publicsafety-gc-ca-cnt,https://www.publicsafety.gc.ca,SPA/JS쉘(정적크롤 불가),structural
regjeringen-no-en,https://www.regjeringen.no/en/find-document/id2000006/,WAF차단(헤더/스텔스 우회검증필요),fixable?
repositorio-uchile-cl-discover,https://repositorio.uchile.cl,사망/무응답(HTTP000),structural
rijksoverheid-nl-documenten,https://www.rijksoverheid.nl/documenten,콘텐츠 있음(셀렉터 노후 의심),fixable(셀렉터)
safefood-net-news,https://www.safefood.net,WAF차단(헤더/스텔스 우회검증필요),fixable?
transparency-gov-au-publications,https://www.transparency.gov.au,SPA/JS쉘(정적크롤 불가),structural
transport-govt-nz-documents-and-public,https://www.transport.govt.nz/documents-and-publications/results?Keyword=&TopicID=&DocumentTypeID=222&SortBy=NewestToOldest&action_results=Search,SPA/JS쉘(정적크롤 불가),structural
transportation-gov-newsroom,https://www.transportation.gov,WAF차단(헤더/스텔스 우회검증필요),fixable?
unidata-gv-at-pages,https://unidata.gv.at,WAF차단(헤더/스텔스 우회검증필요),fixable?
ypergasias-gov-gr-category,https://ypergasias.gov.gr,WAF차단(헤더/스텔스 우회검증필요),fixable?
