site_id,sheet,collected,max_to_collect,source,exact_or_lowerbound,gap,health,observed_pdf_rate,projected_pdf_count,projected_storage_gb,corrected_max,correction_source,n_corroborating,confidence,corrected_storage_gb
bmbfsfj-bund-de-bmbfsfj,Germany Ministries,502,226,api_html_count_regex,exact,-276,,0.1474,33,0.03,226,capacity_final.csv,3,unchanged,0.03
bmds-bund-de-aktuelles,Germany Ministries,79,84,count_crawl,exact,5,,0.0759,6,0.0,84,capacity_final.csv,6,unchanged,0.0
bmf-gv-at-ministerium,오스트리아완료,36,3,count_crawl,exact,-33,,0.9167,3,0.0,3,capacity_final.csv,10,unchanged,0.0
bmftr-bund-de-siteglobals,독일완료,197,144,count_timeout,lower_bound,-53,,1.0,144,0.64,179,count_only_c_full.csv,6,corroborated,0.8
bmi-gv-at-114,오스트리아완료,76,42,count_crawl,exact,-34,,0.75,32,0.17,42,capacity_final.csv,6,unchanged,0.17
bmimi-gv-at-themen,오스트리아완료,18,,,unmeasured,,zero_parsed,0.8889,,,18,count_only_c_full.csv,5,corroborated,0.05
bmj-gv-at-ministerium,오스트리아완료,149,51,count_timeout,lower_bound,-98,,0.4027,21,0.02,151,count_only_c_full.csv,4,corroborated,0.06
bmleh-de-en,독일완료,26,16,count_crawl,exact,-10,,0.8077,13,0.02,16,capacity_final.csv,6,unchanged,0.02
bmleh-de-siteglobals,독일완료,200,97,count_timeout,lower_bound,-103,,0.99,96,0.03,233,count_only_c_full.csv,4,corroborated,0.07
bmluk-gv-at-service,오스트리아완료,315,272,count_crawl,exact,-43,,0.8444,230,0.24,272,capacity_final.csv,11,unchanged,0.24
bmlv-gv-at-wissen-forschung,오스트리아완료,18,18,count_crawl,exact,0,,0.9444,10,0.0,19,exact_probe.csv,7,corroborated,0.0
bmv-de-en,독일완료,11,3584,custom_api,exact,3573,,1.0,2068,5.09,3584,capacity_final.csv,3,unchanged,5.09
bmvg-de-en,Germany Ministries,20,20,count_crawl,exact,0,,0.1,2,0.0,20,capacity_final.csv,6,unchanged,0.0
bmwet-gv-at-services,오스트리아완료,89,87,count_crawl,exact,-2,,0.8876,77,0.19,87,capacity_final.csv,6,unchanged,0.19
bmwkms-gv-at-themen,오스트리아완료,41,17,count_crawl,exact,-24,,1.0,17,0.05,17,capacity_final.csv,6,unchanged,0.05
bmwsb-bund-de-de,독일완료,20,20,count_crawl,exact,0,,0.75,15,0.02,20,capacity_final.csv,6,unchanged,0.02
bmz-de-de,Germany Ministries,6,6,count_crawl,exact,0,,1.0,3,0.01,6,capacity_final.csv,9,unchanged,0.01
bnf-fr-fr,French Public Institutions,488,,,unmeasured,,fetch_fail,1.0,,,488,count_only_c_full.csv,10,corroborated,1.45
bok-or-kr-portal,한국완료,430,507,count_timeout,lower_bound,77,,0.9744,494,0.28,16336,exact_probe.csv,1,single_source,9.02
book-ioj-go-kr-library,한국완료,500,545,count_timeout,lower_bound,45,,1.0,545,0.03,998,count_only_capped_1h.csv,3,corroborated,0.05
bordbia-ie-about,Irish Research Centers,20,,,unmeasured,,zero_parsed,1.0,,,0,count_only_c_full.csv,0,single_source,0.0
boverket-se-en,스웨덴 완료,9,9,count_crawl,exact,0,,1.0,5,0.01,9,capacity_final.csv,6,unchanged,0.01
bra-se-english,스웨덴 완료,306,2,api_html_count_regex,exact,-304,,0.9967,2,0.0,305,full_survey_totals.csv,1,single_source,0.0
brgm-fr-fr,French Research Institutes,234,223,count_timeout,lower_bound,-11,,0.9957,222,0.34,241,count_only_c_full.csv,5,corroborated,0.37
broadbentinstitute-ca-research,Canadian Research Centers,81,78,api_wordpress_posts,exact,-3,,0.8642,67,0.15,82,full_survey_totals.csv,3,corroborated,0.16
brsn-net-list,중국 완료,500,478,count_timeout,lower_bound,-22,,0.022,11,0.0,999,count_only_c_full.csv,4,corroborated,0.0
budget-canada-ca-home-accueil-enhtml,Canada Ministries,17,,,unmeasured,,fetch_fail,1.0,,,17,count_only_c_full.csv,5,corroborated,0.05
bundesfinanzministerium-de-web,Germany Ministries,112,8,api_html_count_regex,exact,-104,,0.0,0,0.0,60,full_survey_totals.csv,1,single_source,0.0
bundesgesundheitsministerium-de-service,독일완료,229,199,count_timeout,lower_bound,-30,,0.9956,198,0.34,311,count_only_uncapped.csv,2,corroborated,0.53
bundeskanzleramt-gv-at-bundeskanzleramt,오스트리아완료,480,389,count_timeout,lower_bound,-91,,0.0229,9,0.02,447,count_only_c_full.csv,6,corroborated,0.02
bundesumweltministerium-de-en,Germany Ministries,7,,,unmeasured,,zero_parsed,1.0,,,7,count_only_c_full.csv,5,corroborated,0.02
busan-go-kr-nbtnewsbu,한국완료,537,459,count_timeout,lower_bound,-78,,0.9981,458,0.2,1372,count_only_uncapped.csv,2,corroborated,0.6
business-sweden-com-about-us,스웨덴 완료,94,94,count_crawl,exact,0,,0.0,0,0.0,94,capacity_final.csv,6,unchanged,0.0
cac-gov-cn-hdfw,중국 완료,89,91,count_crawl,exact,2,,0.0,0,0.0,91,capacity_final.csv,5,unchanged,0.0
cae-eco-fr-presse-cae-0,French Public Institutions,64,64,count_crawl,exact,0,,0.9375,60,0.02,64,capacity_final.csv,10,unchanged,0.02
caissedesdepots-fr-communiques-de-press,French Public Institutions,1201,1000,count_crawl,lower_bound,-201,,1.0,1000,0.32,1000,capacity_final.csv,10,unchanged,0.32
caitec-org-cn-n6,중국 완료,62,,,unmeasured,,fetch_fail,0.4355,,,62,count_only_c_full.csv,5,corroborated,0.18
canada-ca-en,Canada Ministries,948,949,custom_api,exact,1,,0.0,0,0.0,949,capacity_final.csv,5,unchanged,0.0
cancer-fr-catalogue-des-public,French Public Institutions,12,63,api_html_count_regex,exact,51,,1.0,36,0.04,63,capacity_final.csv,3,unchanged,0.04
cancer-fr-presse,French Public Institutions,110,111,api_html_count_regex,exact,1,,0.4727,52,0.06,111,capacity_final.csv,4,unchanged,0.06
cancer-gov-about-nci,American Research Institutes,24,24,count_crawl,exact,0,,1.0,24,0.14,24,capacity_final.csv,6,unchanged,0.14
canurb-org-publications,Canadian Research Centers,92,35,api_wordpress_posts,exact,-57,,0.9348,33,0.18,95,full_survey_totals.csv,1,single_source,0.49
carabinieri-it-in-vostro-aiuto,Italy Ministries,301,218,count_timeout,lower_bound,-83,,0.0,0,0.0,481,count_only_uncapped.csv,1,single_source,0.0
casseng-cssn-cn-sky_research,중국 완료,8,8,count_crawl,exact,0,,0.0,5,0.03,8,capacity_final.csv,11,unchanged,0.03
catalog-data-metro-tokyo-lg-jp-dataset,일본완료,492,9647,api_ckan,exact,9155,,0.939,9059,95.22,9647,capacity_final.csv,2,unchanged,95.22
catalogue-data-govt-nz-dataset,뉴질랜드완료,85,86,count_crawl,exact,1,,0.0235,2,0.0,86,capacity_final.csv,6,unchanged,0.0
cc-nih-gov-research,American Research Institutes,199,22,count_crawl,exact,-177,,0.0,0,0.0,22,capacity_final.csv,6,unchanged,0.0
cdhowe-org-research-insights,Canadian Research Centers,344,337,count_timeout,lower_bound,-7,,0.5901,199,0.11,344,count_only_c_full.csv,7,corroborated,0.11
cds-cern-ch-collection,Switzerland Research Centers,505,121,count_crawl,exact,-384,,0.0,0,0.0,110861,crawler_health_probe308.csv,4,corroborated,0.0
cea-hal-science-cnrgh,French Research Institutes,759,866,hal_api,exact,107,,0.635,550,1.71,151061,crawler_health_final.csv,2,corroborated,298.28
cedelft-eu-reports,Dutch Research Centers,500,1,api_html_count_regex,exact,-499,,0.916,1,0.0,357,full_survey_totals.csv,1,single_source,0.0
cells-es-en,Spanish Research Centers,11,,,unmeasured,,zero_parsed,1.0,,,76,exact_probe.csv,1,single_source,0.23
centralbank-ie-publication,Irish Research Centers,26,25,count_crawl,exact,-1,,1.0,25,0.12,25,capacity_final.csv,6,unchanged,0.12
centralesupelec-fr-presse,French Public Institutions,51,51,count_crawl,exact,0,,1.0,51,0.01,51,capacity_final.csv,9,unchanged,0.01
cepii-fr-cepii,French Public Institutions,540,24,count_crawl,exact,-516,,0.0389,1,0.0,24,capacity_final.csv,6,unchanged,0.0
cer-rec-gc-ca-en,Canadian Research Centers,175,174,count_crawl,exact,-1,,0.5086,88,0.17,354,count_only_c_full.csv,2,corroborated,0.35
cerema-fr-fr,French Research Institutes,231,240,count_crawl,exact,9,,0.8615,207,0.23,240,capacity_final.csv,5,unchanged,0.23
chinatax-gov-cn-chinatax,중국 완료,6,9,count_crawl,exact,3,,0.0,5,0.03,32,count_only_totalscan.csv,3,corroborated,0.11
chineseafs-org-ckynewsmgr,중국 완료,30,,,unmeasured,,fetch_fail,0.0,,,0,count_only_totals.csv,0,single_source,0.0
chungnam-go-kr-cnportal,한국완료,425,456,count_timeout,lower_bound,31,,0.0,0,0.0,2888,exact_probe.csv,1,single_source,0.0
cigionline-org-publications,Canadian Research Centers,500,,,unmeasured,,fetch_fail,0.966,,,1328,count_only_totalscan.csv,5,corroborated,3.94
cirad-fr-espace-presse,French Research Institutes,360,446,api_html_count_regex,exact,86,,0.0,0,0.0,446,capacity_final.csv,4,unchanged,0.0
civilprotection-gov-gr-deltia-tupou,Greece Ministries,500,374,count_timeout,lower_bound,-126,,0.0,0,0.0,1539,count_only_uncapped.csv,1,single_source,0.0
climateinstitute-ca-newsroom,Canadian Research Centers,110,114,api_wordpress_news,exact,4,,0.0,0,0.0,114,capacity_final.csv,3,unchanged,0.0
cmi-no-publications,Norway Research Centers,346,1657,api_oai_resumption,exact,1311,,0.0723,120,0.13,1657,capacity_final.csv,2,unchanged,0.13
cnam-hal-science-ceet,French Research Institutes,279,84,hal_api,exact,-195,,0.9283,78,0.06,32221,crawler_health_final.csv,2,corroborated,23.02
cnam-hal-science-search,French Public Institutions,975,12651,hal_api,exact,11676,,0.9733,12314,68.21,32221,crawler_health_final.csv,2,corroborated,173.72
cnes-fr-communiques,French Research Institutes,119,127,api_html_count_regex,exact,8,,0.7731,98,0.02,127,capacity_final.csv,4,unchanged,0.02
cnic-es-en,Spanish Research Centers,419,282,count_timeout,lower_bound,-137,,0.0,0,0.0,590,count_only_c_full.csv,5,corroborated,0.0
cnipa-gov-cn-col,중국 완료,213,213,count_crawl,exact,0,,0.0047,1,0.0,213,capacity_final.csv,6,unchanged,0.0
cnl-ca-news-publications,Canadian Research Centers,137,3,api_wordpress_industry_news_events,exact,-134,,1.0,3,0.06,3,capacity_final.csv,2,unchanged,0.06
college-de-france-fr-en,French Public Universities,105,105,count_crawl,exact,0,,0.0,0,0.0,105,capacity_final.csv,7,unchanged,0.0
comptroller-defense-gov-odcfo,USA Executive Departments,24,,,unmeasured,,zero_parsed,0.0,,,24,count_only_c_full.csv,5,corroborated,0.07
comwel-or-kr-comwel,한국완료,471,409,count_timeout,lower_bound,-62,,1.0,409,0.0,1277,count_only_c_full.csv,4,corroborated,0.0
consult-environment-govt-nz-climate,뉴질랜드완료,72,0,count_timeout,lower_bound,-72,,0.0,0,0.0,72,count_only_c_full.csv,8,corroborated,0.21
consult-environment-govt-nz-resource-management,뉴질랜드완료,58,0,count_timeout,lower_bound,-58,,0.0517,0,0.0,60,count_only_c_full.csv,2,corroborated,0.18
consult-environment-govt-nz-waste,뉴질랜드완료,58,0,count_timeout,lower_bound,-58,,0.0517,0,0.0,60,count_only_c_full.csv,6,corroborated,0.18
cora-ucc-ie-search,Irish Research Centers,439,18130,api_dspace_rest7,exact,17691,,0.3872,7021,123.36,18130,capacity_final.csv,2,unchanged,123.36
cpb-nl-en,Dutch Research Centers,371,254,count_timeout,lower_bound,-117,,0.9811,249,0.34,688,count_only_uncapped.csv,5,corroborated,0.92
cre-fr-documents,French Public Institutions,27,351,api_html_count_regex,exact,324,,0.8519,299,0.3,351,capacity_final.csv,2,unchanged,0.3
csem-ch-en,Switzerland Research Centers,168,169,api_html_count_regex,exact,1,,0.756,128,0.07,169,capacity_final.csv,3,unchanged,0.07
csic-es-es,Spanish Research Centers,25,26,count_crawl,exact,1,,0.96,25,0.21,26,capacity_final.csv,6,unchanged,0.21
cso-ie-en,Irish Research Centers,388,,,unmeasured,,zero_parsed,0.0412,,,778,count_only_c_full.csv,1,single_source,2.31
csrc-gov-cn-csrc_en,중국 완료,9,9,count_crawl,exact,0,,1.0,5,0.04,9,capacity_final.csv,4,unchanged,0.04
cstb-fr-communiques-de-press,French Research Institutes,48,48,count_crawl,exact,0,,0.0625,3,0.01,48,capacity_final.csv,11,unchanged,0.01
culture-gouv-fr-espace-documentation,France Ministries,304,862,api_html_count_regex,exact,558,,0.9145,788,3.97,862,capacity_final.csv,3,unchanged,3.97
cwf-ca-publications,Canadian Research Centers,228,1,api_wordpress_posts,exact,-227,,0.2675,0,0.0,229,full_survey_totals.csv,1,single_source,0.0
daejeon-go-kr-drh,한국완료,473,456,count_timeout,lower_bound,-17,,0.0,0,0.0,1569,count_only_uncapped.csv,2,corroborated,0.0
dair-dias-ie-cgi,Irish Research Centers,500,756,count_crawl,lower_bound,256,,0.986,745,1.06,2015,exact_probe.csv,1,single_source,2.83
dapa-go-kr-dapa,한국완료,970,0,count_timeout,lower_bound,-970,,0.9969,0,0.0,0,capacity_final.csv,0,unchanged,0.0
data-aeronomie-be-dataset,벨기에완료,33,170,api_ckan,exact,137,,0.9697,165,0.79,170,capacity_final.csv,2,unchanged,0.79
data-biodiversity-be-dataset,벨기에완료,524,0,count_timeout,lower_bound,-524,,0.9599,0,0.0,3,reverify44.csv,1,single_source,0.01
data-busan-go-kr-bdip,한국완료,2022,2919,count_crawl,lower_bound,897,,0.0,0,0.0,12422,crawler_health_probe308.csv,3,corroborated,0.0
data-e-gov-go-jp-data,일본완료,1392,0,api_ckan,exact,-1392,,0.8312,0,0.0,1380,count_only_c_full.csv,1,single_source,4.09
data-gouv-fr-organizations,French Research Institutes,200,4,api_html_count_regex,exact,-196,,0.38,2,0.0,207,crawler_health_probe.csv,2,corroborated,0.0
data-gov-au-data,호주완료,500,140429,api_ckan,exact,139929,,0.886,124420,254.05,140429,capacity_final.csv,3,unchanged,254.05
data-gov-be-nl,벨기에완료,132,,,unmeasured,,zero_parsed,0.3182,,,0,count_only_c_full.csv,0,single_source,0.0
data-gov-uk-search,영국완료,488,58487,api_ckan,exact,57999,,0.3709,21693,28.21,58487,capacity_final.csv,3,unchanged,28.21
data-gv-at-datasets,오스트리아완료,400,116818,custom_api,exact,116418,,0.8425,98419,110.54,116818,capacity_final.csv,4,unchanged,110.54
data-mfe-govt-nz-documents,뉴질랜드완료,21,,,unmeasured,,fetch_fail,0.5714,,,24,count_only_c_full.csv,4,corroborated,0.07
data-mfe-govt-nz-tables,뉴질랜드완료,435,,,unmeasured,,fetch_fail,0.9057,,,434,count_only_c_full.csv,6,corroborated,1.29
data-nasa-gov-dataset,American Research Institutes,4474,35964,api_ckan,exact,31490,,0.135,4855,9.76,35964,capacity_final.csv,3,unchanged,9.76
data-nist-gov-sdp,American Research Institutes,50,,,unmeasured,,fetch_fail,0.0,,,50,count_only_c_full.csv,5,corroborated,0.15
data-statistik-gv-at-web,오스트리아완료,500,186,count_timeout,lower_bound,-314,,0.0,0,0.0,518,count_only_capped_1h.csv,3,corroborated,0.0
data-taltech-ee-search,Estonia Research Centers,92,219,custom_api,exact,127,,0.6087,133,0.28,219,capacity_final.csv,3,unchanged,0.28
datacatalogue-adruk-org-browser,영국완료,484,,,unmeasured,,fetch_fail,0.1095,,,219675,crawler_health_probe308.csv,4,corroborated,651.81
daten-berlin-de-datensaetze,독일완료,250,2619,custom_api,exact,2369,,0.048,126,0.09,2619,capacity_final.csv,3,unchanged,0.09
datenportal-bmbf-de-portal,독일완료,75,75,count_crawl,exact,0,,0.96,72,0.01,75,capacity_final.csv,6,unchanged,0.01
datos-gob-cl-dataset,Chile Research Centers,21,3179,api_ckan,exact,3158,,0.8571,2725,3.15,3179,capacity_final.csv,2,unchanged,3.15
datos-gob-mx-agricultura,Mexico Ministries,85,85,api_ckan,exact,0,,0.0,0,0.0,85,capacity_final.csv,3,unchanged,0.0
datos-gob-mx-cultura,Mexico Ministries,114,114,api_ckan,exact,0,,0.0,0,0.0,114,capacity_final.csv,3,unchanged,0.0
datos-gob-mx-dataset,Mexico Ministries,97,81,api_ckan,exact,-16,,0.0,0,0.0,81,capacity_final.csv,2,unchanged,0.0
datos-gob-mx-presupuesto,Mexico Ministries,108,108,api_ckan,exact,0,,0.0,0,0.0,108,capacity_final.csv,3,unchanged,0.0
datos-gob-mx-secretaria-salud,Mexico Ministries,9,9,api_ckan,exact,0,,0.0,5,0.03,9,capacity_final.csv,3,unchanged,0.03
datos-gob-mx-secretaria-trabajo,Mexico Ministries,16,16,api_ckan,exact,0,,0.0,9,0.05,16,capacity_final.csv,3,unchanged,0.05
datos-gob-mx-seguridad,Mexico Ministries,27,27,api_ckan,exact,0,,0.0,0,0.0,27,capacity_final.csv,3,unchanged,0.0
datos-gob-mx-territorio,Mexico Ministries,16,16,api_ckan,exact,0,,0.0,9,0.05,16,capacity_final.csv,3,unchanged,0.05
datos-gob-mx-turismo,Mexico Ministries,4,4,api_ckan,exact,0,,0.0,2,0.01,4,capacity_final.csv,3,unchanged,0.01
defence-gov-au-publications,호주완료,80,,,unmeasured,,,1.0,,,80,count_only_c_full.csv,1,single_source,0.24
defence-govt-nz-publications,뉴질랜드완료,431,433,count_crawl,exact,2,,1.0,433,0.84,434,count_only_c_full.csv,7,corroborated,0.84
defensa-gob-es-gabinete,Spain Ministries,421,383,count_timeout,lower_bound,-38,,0.0071,3,0.01,1051,count_only_c_full.csv,5,corroborated,0.03
defense-gouv-fr-salle-de-presse,France Ministries,1980,2263,count_crawl,lower_bound,283,,0.9682,2191,1.11,2275,big_totals.csv,5,corroborated,1.12
defense-gov-news,USA Executive Departments,546,,,unmeasured,,zero_parsed,0.0,,,500,count_only_c_full.csv,5,corroborated,1.48
deltares-nl-en,Dutch Research Centers,155,200,api_html_count_regex,exact,45,,0.0,0,0.0,200,capacity_final.csv,3,unchanged,0.0
dfat-gov-au-publications,호주완료,324,,,unmeasured,,,0.9352,,,324,count_only_c_full.csv,1,single_source,0.96
dhs-gov-congressional-approp,USA Executive Departments,638,466,count_timeout,lower_bound,-172,,1.0,466,0.83,1081,count_only_c_full.csv,4,corroborated,1.93
dhs-gov-news-releases,USA Executive Departments,79,27,count_timeout,lower_bound,-52,,0.0,0,0.0,1179,count_only_c_full.csv,1,single_source,0.0
dhs-gov-publication,USA Executive Departments,29,29,count_crawl,exact,0,,1.0,29,0.01,29,capacity_final.csv,7,unchanged,0.01
dia-govt-nz-diawebsitensf,뉴질랜드완료,28,28,count_crawl,exact,0,,0.3929,11,0.07,28,capacity_final.csv,6,unchanged,0.07
didaktorika-gr-eadd,Greece Research Centers,118,118,count_crawl,exact,0,,0.9492,112,0.0,118,capacity_final.csv,9,unchanged,0.0
difesa-it-il-ministro,Italy Ministries,101,,,unmeasured,,fetch_fail,0.0,,,101,count_only_c_full.csv,5,corroborated,0.3
differ-nl-publications,Dutch Research Centers,198,642,custom_api,exact,444,,0.0354,23,0.32,642,capacity_final.csv,3,unchanged,0.32
digital-gob-es-comunicacion,Spain Ministries,416,159,count_timeout,lower_bound,-257,,0.5192,83,0.02,963,count_only_capped_1h.csv,4,corroborated,0.12
