site_id,sheet,site_url,collected,source_total,coverage_pct,method,status,note
bmbfsfj-bund-de-bmbfsfj,Germany Ministries,https://www.bmbfsfj.bund.de/bmbfsfj/aktuelles/alle-meldungen,502,226,222.1,html_count_regex,over,https://www.bmbfsfj.bund.de/bmbfsfj/aktuelles/alle-meldungen
asiapacific-ca-media,Canadian Research Centers,https://www.asiapacific.ca/media/press-releases,50,,,unknown,unknown,
bmas-de-de,Germany Ministries,https://www.bmas.de/DE/Service/Publikationen/Neue-Publikationen/neue-publikationen.html,454,,,unknown,unknown,
bmi-gv-at-114,오스트리아완료,https://www.bmi.gv.at/114/start.aspx,76,,,unknown,unknown,
bfs-admin-ch-bfs,Switzerland Departments,https://www.bfs.admin.ch/bfs/de/home.html,384,,,unknown,unknown,
biorbic-com-publications,Irish Research Centers,https://biorbic.com/publications/,497,,,unknown,unknown,
bmds-bund-de-aktuelles,Germany Ministries,https://bmds.bund.de/aktuelles/pressemitteilungen,79,,,unknown,unknown,
bmj-gv-at-ministerium,오스트리아완료,https://www.bmj.gv.at/ministerium/aktuelle-meldungen.html,149,,,unknown,unknown,
bmluk-gv-at-service,오스트리아완료,https://www.bmluk.gv.at/service/zahlen-fakten-neu/statistik-agrarberichte-gruene-berichte.html,315,,,unknown,unknown,
bmvg-de-en,Germany Ministries,https://www.bmvg.de/en/press/all-press-releases,20,,,unknown,unknown,
bam-de-navigation,GER ResearchCenters(Unfinished),https://www.bam.de/Navigation/EN/News/Press-Releases/press-releases.html,308,,,unknown,unknown,
bdap-opendata-rgs-mef-gov-it-catalog,Italy Ministries,https://bdap-opendata.rgs.mef.gov.it/catalog,360,,,unknown,unknown,
bmv-de-en,독일완료,https://www.bmv.de/EN/Services/Statistics/Mobility-in-Germany/mobility-in-germany.html,11,,,unknown,unknown,
bmf-gv-at-ministerium,오스트리아완료,https://www.bmf.gv.at/ministerium/nationale-finanzbildungsstrategie/uebersicht-nationale-finanzbildungsstrategie/downloads.html,36,,,unknown,unknown,
bmlv-gv-at-wissen-forschung,오스트리아완료,https://www.bmlv.gv.at/wissen-forschung/publikationen/doktyp.php?id=23,18,,,unknown,unknown,
bok-or-kr-portal,한국완료,https://www.bok.or.kr/portal/singl/newsData/list.do?pageIndex=1&targetDepth=&menuNo=201150&syncMenuChekKey=1&depthSubMain=&subMainAt=&searchCnd=1&searchKwd=&depth2=200038&date=&sdate=&edate=&sort=1&pageUnit=10,430,,,unknown,unknown,
bmftr-bund-de-siteglobals,독일완료,https://www.bmftr.bund.de/SiteGlobals/Forms/Suche/Publikationssuche/Publikationssuche_Formular.html,197,,,unknown,unknown,
book-ioj-go-kr-library,한국완료,https://book.ioj.go.kr/library/10210/search?materialTypes=bc&categoryTab=true,500,,,unknown,unknown,
bmimi-gv-at-themen,오스트리아완료,https://www.bmimi.gv.at/themen/innovation/publikationen/menschen_qualifikation_gender.html,18,,,unknown,unknown,
bordbia-ie-about,Irish Research Centers,https://www.bordbia.ie/about/governance/annual-reports/,20,,,unknown,unknown,
bmleh-de-siteglobals,독일완료,https://www.bmleh.de/SiteGlobals/Forms/Suche/DE/GoodPracticessuche/GoodPracticessuche_Formular.html?view=processForm&nn=902,200,,,unknown,unknown,
bmz-de-de,Germany Ministries,https://www.bmz.de/de/aktuelles/publikationen,6,,,unknown,unknown,
bmleh-de-en,독일완료,https://www.bmleh.de/EN/ministry/organisation/advisory-boards/AgriculturalPolicyPublications.html,26,,,unknown,unknown,
bnf-fr-fr,French Public Institutions,https://www.bnf.fr/fr/recherche-liste?keyword=&type%5B0%5D=espace_presse&items_per_page=10,488,,,unknown,unknown,
bra-se-english,스웨덴 완료,https://bra.se/english/publications,306,2,15300.0,html_count_regex,over,https://bra.se/english/publications
budget-canada-ca-home-accueil-enhtml,Canada Ministries,https://budget.canada.ca/home-accueil-en.html,17,,,unknown,unknown,
bmwkms-gv-at-themen,오스트리아완료,https://www.bmwkms.gv.at/themen/kunst-und-kultur/service-kunst-und-kultur/publikationen/kunst-und-kulturberichte.html,41,,,unknown,unknown,
bmwet-gv-at-services,오스트리아완료,https://www.bmwet.gv.at/Services/Publikationen.html,89,,,unknown,unknown,
bmwsb-bund-de-de,독일완료,https://www.bmwsb.bund.de/DE/ministerium/aktuelle-meldungen/aktuelle-meldungen_node.html,20,,,unknown,unknown,
broadbentinstitute-ca-research,Canadian Research Centers,https://broadbentinstitute.ca/research/,81,78,103.8,wordpress_posts,over,https://broadbentinstitute.ca/wp-json/wp/v2/posts
brgm-fr-fr,French Research Institutes,https://www.brgm.fr/fr/actualites?type=Communiqu%C3%A9%20de%20presse,234,,,unknown,unknown,
busan-go-kr-nbtnewsbu,한국완료,https://www.busan.go.kr/nbtnewsBU,537,,,unknown,unknown,
cac-gov-cn-hdfw,중국 완료,https://www.cac.gov.cn/hdfw/jbzx/jbgg/A09380302index_1.htm,89,,,unknown,unknown,
bundesumweltministerium-de-en,Germany Ministries,https://www.bundesumweltministerium.de/en/public-information-service/publications,7,,,unknown,unknown,
bundesgesundheitsministerium-de-service,독일완료,https://www.bundesgesundheitsministerium.de/service/publikationen/drogen-und-sucht.html,229,,,unknown,unknown,
caitec-org-cn-n6,중국 완료,https://www.caitec.org.cn/n6/sy_zgdwmyxsbg/,62,,,unknown,unknown,
boverket-se-en,스웨덴 완료,https://www.boverket.se/en/start/publications/,9,,,unknown,unknown,
bundeskanzleramt-gv-at-bundeskanzleramt,오스트리아완료,https://www.bundeskanzleramt.gv.at/bundeskanzleramt/nachrichten-der-bundesregierung/2021.html,480,,,unknown,unknown,
casseng-cssn-cn-sky_research,중국 완료,http://casseng.cssn.cn/sky_research/publications/journals/,8,,,unknown,unknown,
catalog-data-metro-tokyo-lg-jp-dataset,일본완료,https://catalog.data.metro.tokyo.lg.jp/dataset/?res_format=PDF,492,9647,5.1,ckan,partial,https://catalog.data.metro.tokyo.lg.jp/api/3/action/package_search
bundesfinanzministerium-de-web,Germany Ministries,https://www.bundesfinanzministerium.de/Web/EN/Press/Press_releases/press_releases.html,112,8,1400.0,html_count_regex,over,https://www.bundesfinanzministerium.de/Web/EN/Press/Press_releases/press_releases.html
business-sweden-com-about-us,스웨덴 완료,https://www.business-sweden.com/about-us/media/press-releases/,94,,,unknown,unknown,
cc-nih-gov-research,American Research Institutes,https://www.cc.nih.gov/research/2025,199,,,unknown,unknown,
catalogue-data-govt-nz-dataset,뉴질랜드완료,https://catalogue.data.govt.nz/dataset/?res_format=PDF,85,,,unknown,unknown,
cancer-gov-about-nci,American Research Institutes,https://www.cancer.gov/about-nci/budget/about-budget-proposal,24,,,unknown,unknown,
cdhowe-org-research-insights,Canadian Research Centers,https://cdhowe.org/research-insights/,344,,,unknown,unknown,
cae-eco-fr-presse-cae-0,French Public Institutions,https://cae-eco.fr/Presse-CAE-0,64,,,unknown,unknown,
cancer-fr-catalogue-des-public,French Public Institutions,https://www.cancer.fr/catalogue-des-publications?publications_catalog%5Bfilters%5D%5Bsearch_text%5D=&publications_catalog%5Bfilters%5D%5Bcollection%5D%5B%5D=76&search=,12,63,19.0,html_count_regex,partial,https://www.cancer.fr/catalogue-des-publications?publications_catalog%5Bfilters%5D%5Bsearch_text%5D=&publications_catalog%5Bfilters%5D%5Bcollection%5D%5B%5D=76&search=
centralbank-ie-publication,Irish Research Centers,https://www.centralbank.ie/publication/corporate-reports/annual-reports,26,,,unknown,unknown,
cea-hal-science-cnrgh,French Research Institutes,https://cea.hal.science/CNRGH/search/index/?q=%2A&rows=30&docType_s=THESE+OR+COMM+OR+ART,759,151061,0.5,hal_solr,partial,https://api.archives-ouvertes.fr/search/cea/
cds-cern-ch-collection,Switzerland Research Centers,https://cds.cern.ch/collection/Published%20Articles?ln=en,505,,,unknown,unknown,
brsn-net-list,중국 완료,https://www.brsn.net/list/research/index.html,500,,,unknown,unknown,
cancer-fr-presse,French Public Institutions,https://www.cancer.fr/presse?press_list%5Bfilters%5D%5Bdate_from%5D=&press_list%5Bfilters%5D%5Bdate_to%5D=&search=,110,111,99.1,html_count_regex,complete,https://www.cancer.fr/presse?press_list%5Bfilters%5D%5Bdate_from%5D=&press_list%5Bfilters%5D%5Bdate_to%5D=&search=
chineseafs-org-ckynewsmgr,중국 완료,https://www.chineseafs.org/ckynewsmgr/newsContentQueryByPage.action?searchKey=enyjbg&queryFlag=1&address=Research%20Reports&retVal=enyjbggdxw&start=0&limit=10,30,,,unknown,unknown,
chungnam-go-kr-cnportal,한국완료,https://www.chungnam.go.kr/cnportal/cnapcPressList/cnapcPress/list.do?menuNo=500498,425,,,unknown,unknown,
cer-rec-gc-ca-en,Canadian Research Centers,https://www.cer-rec.gc.ca/en/about/publications-reports/index.html,175,,,unknown,unknown,
carabinieri-it-in-vostro-aiuto,Italy Ministries,https://www.carabinieri.it/in-vostro-aiuto/informazioni/comunicati-stampa,301,,,unknown,unknown,
chinatax-gov-cn-chinatax,중국 완료,https://www.chinatax.gov.cn/chinatax/n810219/c102025/common_listwyc.html,6,,,unknown,unknown,
cigionline-org-publications,Canadian Research Centers,https://www.cigionline.org/publications/,500,,,unknown,unknown,
centralesupelec-fr-presse,French Public Institutions,https://www.centralesupelec.fr/presse/communiques,51,,,unknown,unknown,
cells-es-en,Spanish Research Centers,https://www.cells.es/en/public/corporate-publications,11,,,unknown,unknown,
cepii-fr-cepii,French Public Institutions,https://www.cepii.fr/CEPII/fr/presse/espace_presse.asp,540,,,unknown,unknown,
canurb-org-publications,Canadian Research Centers,https://canurb.org/publications/,92,35,262.9,wordpress_posts,over,https://canurb.org/wp-json/wp/v2/posts
civilprotection-gov-gr-deltia-tupou,Greece Ministries,https://civilprotection.gov.gr/deltia-tupou?filter_content_type%5B%5D=deltio_typoy&field_omilia_value%5B%5D=2&field_omilia_value_op=not,500,,,unknown,unknown,
cmi-no-publications,Norway Research Centers,https://www.cmi.no/publications/search?pubtype=journal-articles,346,1657,20.9,oai_resumption,partial,https://www.cmi.no/oai
cedelft-eu-reports,Dutch Research Centers,https://cedelft.eu/reports/,500,1,50000.0,html_count_regex,over,https://cedelft.eu/reports/
cerema-fr-fr,French Research Institutes,https://www.cerema.fr/fr/presse/document,231,,,unknown,unknown,
comptroller-defense-gov-odcfo,USA Executive Departments,https://comptroller.defense.gov/ODCFO/afr/,24,,,unknown,unknown,
caissedesdepots-fr-communiques-de-press,French Public Institutions,https://www.caissedesdepots.fr/communiques-de-presse,1201,,,unknown,unknown,
comwel-or-kr-comwel,한국완료,https://www.comwel.or.kr/comwel/noti/pres.jsp,471,,,unknown,unknown,
cnam-hal-science-ceet,French Research Institutes,https://cnam.hal.science/CEET/search/index/?q=%2A&rows=30&submitType_s=file&docType_s=OTHER+OR+REPORT,279,32221,0.9,hal_solr,partial,https://api.archives-ouvertes.fr/search/cnam/
cnam-hal-science-search,French Public Institutions,https://cnam.hal.science/search/index/?q=%2A&rows=30&submitType_s=file&docType_s=ART+OR+COMM+OR+THESE,975,32221,3.0,hal_solr,partial,https://api.archives-ouvertes.fr/search/cnam/
cnipa-gov-cn-col,중국 완료,https://www.cnipa.gov.cn/col/col88/index.html,213,,,unknown,unknown,
cnes-fr-communiques,French Research Institutes,https://cnes.fr/communiques?display_parameters%5Bdisplay_type%5D=0,119,127,93.7,html_count_regex,partial,https://cnes.fr/communiques?display_parameters%5Bdisplay_type%5D=0
cirad-fr-espace-presse,French Research Institutes,https://www.cirad.fr/espace-presse/communiques-de-presse,360,446,80.7,html_count_regex,partial,https://www.cirad.fr/espace-presse/communiques-de-presse
cora-ucc-ie-search,Irish Research Centers,"https://cora.ucc.ie/search?f.itemtype=Doctoral%20thesis,equals&spc.page=1",439,18130,2.4,dspace_rest7,partial,https://cora.ucc.ie/server/api/discover/search/objects
climateinstitute-ca-newsroom,Canadian Research Centers,https://climateinstitute.ca/newsroom/news-releases/,110,114,96.5,wordpress_news,complete,https://climateinstitute.ca/wp-json/wp/v2/news
cnic-es-en,Spanish Research Centers,https://www.cnic.es/en/scientific-report,419,,,unknown,unknown,
college-de-france-fr-en,French Public Universities,https://www.college-de-france.fr/en/news?f%5B0%5D=type%3A4825,105,,,unknown,unknown,
canada-ca-en,Canada Ministries,https://www.canada.ca/en/news/advanced-news-search/news-results.html?_=1618957516190&dprtmnt=crownindigenousrelationsandnorthernaffairscanada&start=&end=,948,,,unknown,unknown,
csrc-gov-cn-csrc_en,중국 완료,http://www.csrc.gov.cn/csrc_en/c102060/common_list.shtml?channelid=8972fc7f51414c53a6818bed2a3da572,9,,,unknown,unknown,
cpb-nl-en,Dutch Research Centers,https://www.cpb.nl/en/publications,371,,,unknown,unknown,
daejeon-go-kr-drh,한국완료,https://www.daejeon.go.kr/drh/board/boardNormalList.do?boardId=normal_0189&menuSeq=6825,473,,,unknown,unknown,
cnl-ca-news-publications,Canadian Research Centers,https://www.cnl.ca/news-publications/canadian-nuclear-review/,137,3,4566.7,wordpress_industry_news_events,over,https://www.cnl.ca/wp-json/wp/v2/industry_news_events
csic-es-es,Spanish Research Centers,https://www.csic.es/es/el-csic/informacion-corporativa/el-csic-en-cifras,25,,,unknown,unknown,
cso-ie-en,Irish Research Centers,https://www.cso.ie/en/csolatestnews/pressreleases/2025pressreleases/,388,,,unknown,unknown,
cstb-fr-communiques-de-press,French Research Institutes,https://www.cstb.fr/communiques-de-presse,48,,,unknown,unknown,
cre-fr-documents,French Public Institutions,https://www.cre.fr/documents/rapports-et-etudes.html,27,351,7.7,html_count_regex,partial,https://www.cre.fr/documents/rapports-et-etudes.html
data-busan-go-kr-bdip,한국완료,https://data.busan.go.kr/bdip/opendata/dataSet.do;jsessionid=6B10E30C8AD71286859FAAF148A85DF8.worker2,2022,,,unknown,unknown,
data-e-gov-go-jp-data,일본완료,https://data.e-gov.go.jp/data/dataset/?organization=default&res_format=PDF&sort=score+desc%2C+metadata_modified+desc-20,1392,0,0.0,ckan,over,https://data.e-gov.go.jp/data/api/3/action/package_search
data-aeronomie-be-dataset,벨기에완료,https://data.aeronomie.be/dataset/?res_format=PDF,33,170,19.4,ckan,partial,https://data.aeronomie.be/api/3/action/package_search
data-gov-au-data,호주완료,https://data.gov.au/data/dataset/?res_format=PDF,500,140429,0.4,ckan,partial,https://data.gov.au/data/api/3/action/package_search
data-gov-uk-search,영국완료,https://www.data.gov.uk/search?q=&filters%5Bpublisher%5D=&filters%5Btopic%5D=&filters%5Bformat%5D=PDF&sort=best,488,58487,0.8,ckan,partial,https://www.data.gov.uk/api/3/action/package_search
csem-ch-en,Switzerland Research Centers,https://www.csem.ch/en/press/,168,169,99.4,html_count_regex,complete,https://www.csem.ch/en/press/
dair-dias-ie-cgi,Irish Research Centers,https://dair.dias.ie/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=&keywords_merge=ALL&keywords=&subjects_merge=ANY&divisions_merge=ANY&type=article&department_merge=ALL&department=&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search,500,,,unknown,unknown,
data-gov-be-nl,벨기에완료,https://data.gov.be/nl/datasets?f%5B0%5D=format%3A65,132,,,unknown,unknown,
data-nasa-gov-dataset,American Research Institutes,https://data.nasa.gov/dataset/,4474,35964,12.4,ckan,partial,https://data.nasa.gov/api/3/action/package_search
cwf-ca-publications,Canadian Research Centers,https://cwf.ca/publications/#series=reports@what-now-policy-briefs@partner-publications@what-the-west@fiscal-federalism-policy-network@50th-anniversary,228,1,22800.0,wordpress_posts,over,https://cwf.ca/wp-json/wp/v2/posts
culture-gouv-fr-espace-documentation,France Ministries,https://www.culture.gouv.fr/espace-documentation?resource_type%5B0%5D=50,304,862,35.3,html_count_regex,partial,https://www.culture.gouv.fr/espace-documentation?resource_type%5B0%5D=50
data-gv-at-datasets,오스트리아완료,https://www.data.gv.at/datasets?locale=de&format=PDF&page=1,400,,,unknown,unknown,
data-gouv-fr-organizations,French Research Institutes,https://www.data.gouv.fr/organizations/cerema/datasets/?page_size=20&page=1,200,4,5000.0,html_count_regex,over,https://www.data.gouv.fr/organizations/cerema/datasets/?page_size=20&page=1
data-mfe-govt-nz-documents,뉴질랜드완료,https://data.mfe.govt.nz/documents/,21,,,unknown,unknown,
data-mfe-govt-nz-tables,뉴질랜드완료,https://data.mfe.govt.nz/tables/,435,,,unknown,unknown,
datos-gob-cl-dataset,Chile Research Centers,https://datos.gob.cl/dataset/?q=a+OR+res_name%3Aa+OR+res_description%3Aa&fq=filter%28res_format%3Apdf%29+filter%28license_id%3Acc-nc%29,21,3179,0.7,ckan,partial,https://datos.gob.cl/api/3/action/package_search
data-nist-gov-sdp,American Research Institutes,https://data.nist.gov/sdp/#/search?q=,50,,,unknown,unknown,
datos-gob-mx-agricultura,Mexico Ministries,https://datos.gob.mx/dataset/?groups=agricultura,85,85,100.0,ckan,complete,https://datos.gob.mx/api/3/action/package_search
datos-gob-mx-cultura,Mexico Ministries,https://datos.gob.mx/dataset/?_groups_limit=0&_organization_limit=0&groups=cultura,114,114,100.0,ckan,complete,https://datos.gob.mx/api/3/action/package_search
datacatalogue-adruk-org-browser,영국완료,https://datacatalogue.adruk.org/browser/search?include=dataset::datastandard::terminology::dataclass::dataelement,484,,,unknown,unknown,
datos-gob-mx-dataset,Mexico Ministries,https://datos.gob.mx/dataset/?_groups_limit=0&groups=ciencia_tecnologia,97,81,119.8,ckan,over,https://datos.gob.mx/api/3/action/package_search
datos-gob-mx-presupuesto,Mexico Ministries,https://datos.gob.mx/dataset/?_groups_limit=0&_organization_limit=0&groups=presupuesto,108,108,100.0,ckan,complete,https://datos.gob.mx/api/3/action/package_search
datos-gob-mx-secretaria-salud,Mexico Ministries,https://datos.gob.mx/dataset/?_groups_limit=0&_organization_limit=0&organization=secretaria_salud,9,9,100.0,ckan,complete,https://datos.gob.mx/api/3/action/package_search
datos-gob-mx-secretaria-trabajo,Mexico Ministries,https://datos.gob.mx/dataset/?_groups_limit=0&_organization_limit=0&organization=secretaria_trabajo,16,16,100.0,ckan,complete,https://datos.gob.mx/api/3/action/package_search
datos-gob-mx-seguridad,Mexico Ministries,https://datos.gob.mx/dataset/?_groups_limit=0&_organization_limit=0&groups=seguridad,27,27,100.0,ckan,complete,https://datos.gob.mx/api/3/action/package_search
datos-gob-mx-territorio,Mexico Ministries,https://datos.gob.mx/dataset/?_groups_limit=0&_organization_limit=0&groups=territorio,16,16,100.0,ckan,complete,https://datos.gob.mx/api/3/action/package_search
daten-berlin-de-datensaetze,독일완료,https://daten.berlin.de/datensaetze?res_format=PDF&sort=score+desc%2C+metadata_modified+desc,250,,,unknown,unknown,
data-statistik-gv-at-web,오스트리아완료,https://data.statistik.gv.at/web/catalog.jsp#,500,,,unknown,unknown,
consult-environment-govt-nz-climate,뉴질랜드완료,https://consult.environment.govt.nz/climate/second-emissions-reduction-plan/,72,,,unknown,unknown,
consult-environment-govt-nz-resource-management,뉴질랜드완료,https://consult.environment.govt.nz/resource-management/infrastructure-development-primary-sector-nd/,58,,,unknown,unknown,
datos-gob-mx-turismo,Mexico Ministries,https://datos.gob.mx/dataset/?_groups_limit=0&groups=turismo,4,4,100.0,ckan,complete,https://datos.gob.mx/api/3/action/package_search
consult-environment-govt-nz-waste,뉴질랜드완료,https://consult.environment.govt.nz/waste/agrichemicals-their-containers-and-farm-plastics/,58,,,unknown,unknown,
defensa-gob-es-gabinete,Spain Ministries,https://www.defensa.gob.es/gabinete/notasPrensa/,421,,,unknown,unknown,
deltares-nl-en,Dutch Research Centers,https://www.deltares.nl/en/expertise/publications?languages=Dutch&languages=English&materials=ARTICLE,155,200,77.5,html_count_regex,partial,https://www.deltares.nl/en/expertise/publications?languages=Dutch&languages=English&materials=ARTICLE
defense-gov-news,USA Executive Departments,https://www.defense.gov/News/Releases/,546,,,unknown,unknown,
defence-govt-nz-publications,뉴질랜드완료,https://www.defence.govt.nz/publications/doSearch/,431,,,unknown,unknown,
defense-gouv-fr-salle-de-presse,France Ministries,https://www.defense.gouv.fr/salle-de-presse,1980,,,unknown,unknown,
datenportal-bmbf-de-portal,독일완료,https://www.datenportal.bmbf.de/portal/de/bufi.html,75,,,unknown,unknown,
